changed_files	id	span	title
6	146421371	0 days 01:11:46.000000000	Lastz 1.0.4
1	146417878	0 days 00:28:22.000000000	Updated ddRAGE to Version 1.3.1
1	146415030	0 days 00:45:00.000000000	CNVkit: 0.9.0 update
2	146262269	0 days 13:00:09.000000000	Busco: fix command not found on post-link
2	146260630	0 days 09:49:33.000000000	bump libbigwig and wiggletools
1	146250499	0 days 10:07:59.000000000	update samtools 1.5 -> 1.6
1	146235537	0 days 14:44:50.000000000	ddRAGE 1.3.0
3	146230036	0 days 02:09:34.000000000	Orthofinder 1.1.10
2	146210644	0 days 00:27:32.000000000	Maker: fix path to repeatmasker lib
2	146152540	0 days 00:10:24.000000000	biobambam: update to 2.0.79 to fix bamsormadup
2	146015457	0 days 05:35:00.000000000	Bump umis to 0.7.0.
1	145975413	0 days 02:39:56.000000000	Bump ipython-cluster-helper to 0.5.7.
1	145929724	0 days 00:18:49.000000000	mason 2.0.8
1	145901896	0 days 01:18:57.000000000	BLAST+ 2.7.0
2	145901253	0 days 03:36:20.000000000	IntaRNA 2.1.0
6	145868157	0 days 00:27:00.000000000	Update SeqPrep to 1.2
2	145846583	0 days 02:43:19.000000000	SAMsift 0.2.2
2	145830467	1 days 05:18:23.000000000	New recipe for Meraculous.
17	145820133	0 days 07:48:38.000000000	Add summaries or entire about sections to tools missing them.
236	145802535	0 days 16:37:37.000000000	Update bulk
1	145744609	0 days 04:05:56.000000000	Snakemake 4.2.0
2	145720720	0 days 14:37:09.000000000	Simwalk 2.91 Recipe
5	145720300	0 days 01:21:39.000000000	some recipes has been update for character format
2	145714079	0 days 06:02:00.000000000	Lelievrey
2	145640246	0 days 00:16:57.000000000	Update: mosdepth 0.1.9
5	145543432	0 days 09:11:14.000000000	Peptide shaker 1.16.14
1	145530676	0 days 03:30:18.000000000	Freebayes seems to need libbz2
1	145527649	0 days 01:07:03.000000000	Update Oncofuse to 1.1.1.
1	145526772	0 days 00:43:38.000000000	Bump mashtree to 0.25
3	145484658	0 days 20:37:20.000000000	Add conda for tgDist #BioCon2017
3	145483985	0 days 16:38:46.000000000	Omero 5.4.0
3	145480893	0 days 03:09:52.000000000	Gmap 2017 09 30
3	145458617	0 days 01:15:33.000000000	Gecode 5.1.0
1	145441633	0 days 00:16:47.000000000	Update IRFinder to 1.2.3.
3	145433446	0 days 00:52:38.000000000	Cyvcf 0.8.0
1	145412929	0 days 00:26:41.000000000	VEP: bumped subversion
3	145395728	0 days 09:50:55.000000000	Genehunter-Modscore v3.1
1	145358633	0 days 06:53:20.000000000	bioconductor-limma - add statmod as dependency
2	145192497	0 days 04:35:30.000000000	Bump KneadData to 0.6.1
1	145158287	0 days 00:31:15.000000000	Update gffcompare to 0.10.1.
11	145146717	0 days 09:48:35.000000000	Augustus deps
1	145111260	0 days 00:43:48.000000000	bowtie2 2.3.3.1
1	145019840	0 days 19:21:50.000000000	Bump vsearch version and add .gz support
3	145015896	0 days 01:29:02.000000000	Anvio to versino 3
3	144967272	0 days 21:59:09.000000000	Update bcftools-snvphyl-plugin to 1.6
3	144966225	0 days 23:41:52.000000000	Update peddy to 0.3.1.
1	144945507	0 days 01:12:58.000000000	Update galaxy_sequence_utils to 1.1.2
2	144921165	0 days 01:54:26.000000000	Update biobambam to 2.0.78.
3	144904484	0 days 00:49:24.000000000	Commet apply patch
1	144895239	0 days 00:46:13.000000000	Update vcf2maf to 1.6.14.
1	144873613	0 days 00:28:12.000000000	Update htsbox to r340.
4	144869600	0 days 00:37:26.000000000	Ped parser 1.6.6
4	144859724	0 days 02:01:24.000000000	ViennaRNA 2.4.1
2	144811449	0 days 09:45:41.000000000	Sift4g recipe
1	144780456	0 days 10:12:30.000000000	update sequana to version 0.5.2
1	144757926	0 days 15:29:02.000000000	Updating Hansel to version 0.2.0
2	144740322	0 days 02:48:07.000000000	Update snpEff, SnpSift to 4.3.1r.
1	144726264	0 days 09:12:01.000000000	Pairix 0.3.0
2	144710486	0 days 00:52:20.000000000	[update] pyquant-ms
2	144704115	0 days 00:36:08.000000000	Update bcftools to v1.6
2	144684433	0 days 02:31:42.000000000	Commet recipe
1	144660931	0 days 01:16:05.000000000	update Graphprot tests to run in docker setup
2	144616314	0 days 01:47:09.000000000	Add yanagiba
1	144606567	1 days 02:52:11.000000000	canu 1.6
2	144600142	1 days 04:42:48.000000000	add cassiopee index/search sequence tool
1	144506505	0 days 01:23:14.000000000	update CIRCexplorer2 from 2.3.0 to 2.3.1
2	144495067	0 days 00:34:32.000000000	Add recipe for hicrep by Tao Yang.
1	144416930	0 days 00:22:05.000000000	Update picard to 2.13
1	144408967	0 days 00:21:41.000000000	Update vsearch to 2.4.4
1	144366072	0 days 10:41:04.000000000	Explicit set of LGPL license
1	144359455	1 days 10:43:27.000000000	Fix invalid license link
1	144358595	0 days 11:27:30.000000000	set explicit license instead of reference to LICENSE source file
2	144356799	2 days 04:30:26.000000000	Set hstlib version to use as recipe clone master branch
2	144353325	0 days 00:16:26.000000000	Mapsembler2
1	144289361	0 days 02:27:05.000000000	Update: latest version with CollectErccMetrics
2	144235313	0 days 17:58:55.000000000	Htseq 0.9.1
943	144234536	9 days 03:41:03.000000000	Bioconductor 3.5 build bumps
2	144213355	2 days 04:47:52.000000000	Create recipe for rad_haplotyper
1	144194536	0 days 00:29:19.000000000	update r-sartools
12	144185077	4 days 02:56:24.000000000	Samtools 0.1.x
4	144178510	3 days 07:04:30.000000000	Recipes for R packages alakazam and prestor.
1	144142247	0 days 05:01:18.000000000	Bumped STAR-Fusion version
1	144088973	0 days 00:16:24.000000000	Fix url and description of chemfp
2	144080306	0 days 00:50:35.000000000	adding nanolyse
2	144076445	0 days 00:28:44.000000000	adding mappy
0	144072000	1 days 00:22:36.000000000	HUMAnN2 requires diamond<0.9.0
1	144034307	0 days 00:27:27.000000000	updated sha256sum
1	144012297	0 days 01:10:59.000000000	updated spades to 3.11.1 bug-fix release
5	144010436	0 days 00:43:17.000000000	updated last aligner to 876
1	143988220	0 days 00:59:19.000000000	Haystack bio
3	143932364	0 days 00:26:54.000000000	Tantan
1	143916069	0 days 00:49:30.000000000	update Graphprot version 1.1.7
2	143894301	4 days 20:01:41.000000000	Flexbar 2.5.0
1	143875919	0 days 00:47:31.000000000	Discosnp fix scripts path in .sh
2	143849891	0 days 04:09:39.000000000	GraphProt
1	143837524	0 days 00:11:16.000000000	Discosnp fix dependencies
2	143834227	0 days 05:20:35.000000000	Update mssttitch version to 2.5
1	143828003	0 days 00:41:24.000000000	Update Bamm
1	143822260	0 days 00:20:26.000000000	BlastAlign Update meta.yaml
1	143801675	0 days 16:46:18.000000000	Updated haystack sha256
4	143788738	6 days 11:09:46.000000000	Update NucleoATAC to version 0.3.4
1	143786993	0 days 00:57:17.000000000	Haystack 0.5.2
1	143738194	0 days 18:30:58.000000000	update shiver to 1.2.1
1	143703212	0 days 01:06:51.000000000	bump build number for peakranger
2	143693429	0 days 15:00:09.000000000	improved patch of BlastAlign 
2	143667616	0 days 05:01:53.000000000	Added recipe for bioconductor-copynumber
2	143658159	13 days 07:08:26.000000000	"Recipe for ""Feht"""
2	143621364	0 days 21:55:06.000000000	Bump mash to 2.0
1	143612923	0 days 00:25:34.000000000	Update: bcbio-vm for ansible 2.x compatibility
4	143601872	0 days 01:35:44.000000000	Adds Deeptools 1.5.8.2 and 1.5.9.1
1	143540914	0 days 00:25:19.000000000	Haystack 0.5.2
1	143522598	0 days 01:43:57.000000000	Haystack 0.5.2
1	143428300	0 days 16:28:51.000000000	IntaRNA v2.0.5
2	143414589	0 days 06:41:25.000000000	Mapsembler2
2	143404164	1 days 02:03:40.000000000	Perl io gzip
1	143390188	0 days 00:59:33.000000000	bump gnu-getopt build
2	143363242	0 days 00:38:21.000000000	Update Bamm
1	143361370	0 days 10:33:51.000000000	Remove unneeded samtools run requirement
2	143337596	0 days 22:02:38.000000000	Kissplice
1	143290728	0 days 18:07:28.000000000	update shovill
1	143176940	0 days 04:39:50.000000000	Snakemake 4.1.0
2	143156350	1 days 06:52:41.000000000	discosnp
1	143148115	0 days 02:10:57.000000000	Update trim_galore to 0.4.4.
1	143135157	0 days 00:46:35.000000000	Updated cmv to version 1.0.6
1	143119705	0 days 00:15:40.000000000	Update gffread to 0.9.9.
2	143092827	6 days 21:16:28.000000000	Takeabreak software
2	143080252	10 days 05:54:33.000000000	Lordec
2	143080096	0 days 04:15:16.000000000	Add recipe for bioconductor-scran
3	143053548	0 days 00:15:59.000000000	dr-disco v0.11.0
3	143032119	0 days 14:13:03.000000000	Updating Last (lastal) to v874
1	143019990	0 days 00:48:05.000000000	Haystack 0.5.2
1	142950881	0 days 02:49:13.000000000	 updated recipe
2	142949495	0 days 07:04:32.000000000	add bioconductor-jaspar2014
2	142944683	0 days 00:37:18.000000000	Update galaxy_sequence_utils to 1.1.1
1	142943270	0 days 20:36:05.000000000	Hansel | Pinning attrs version
1	142918219	0 days 01:10:44.000000000	Update meta.yaml
2	142905162	0 days 03:21:43.000000000	Add BamM package
1	142768354	0 days 00:25:52.000000000	update bioconductor-peca
1	142765891	0 days 02:01:01.000000000	rebuild bioconductor-pcaexplorer and bioconductor-monocle
5	142760299	0 days 00:44:00.000000000	r-aroma.* packages
2	142757963	0 days 01:48:04.000000000	create recipe for perl-types-standard
6	142757940	0 days 00:32:43.000000000	add bioconductor-tfbstools and dependencies
2	142752761	0 days 00:55:14.000000000	new version of graphicsmagick with --enable-symbol-prefix option
451	142751745	0 days 01:15:27.000000000	enable R 3.4.1 builds by default
2	142740169	0 days 12:24:18.000000000	Create recipe for perl-bio-cigar
1	142718256	0 days 00:22:34.000000000	pyBigWig-0.3.5
2	142713285	0 days 10:13:43.000000000	Add recipe for perl-term-progressbar
4	142708289	0 days 00:26:02.000000000	Update: toil, sentieon, bcbio-nextgen
1	142691156	0 days 00:38:29.000000000	Haystack bio update
2	142674656	1 days 07:05:24.000000000	build fwdpp 0.5.7
2	142674382	0 days 14:23:35.000000000	add xyalign recipe and add osx to recipe for platypus-variant
1	142613161	0 days 00:34:17.000000000	update seqkit to v0.7.1
2	142572982	0 days 00:28:50.000000000	r-george initial pull request 
2	142550895	0 days 01:45:42.000000000	Adding recipe for ASCAT v2.5
2	142531099	0 days 00:39:33.000000000	structure
2	142501841	0 days 00:16:24.000000000	Perl digest md5 file
2	142481139	1 days 10:13:06.000000000	Create Recipe for perl-class-methodmaker
1	142468033	0 days 02:02:04.000000000	Update Bumbershoot to 3.0.11392 to fix missing gene2protein.db3
1	142447751	0 days 09:18:56.000000000	build Galaxy for python3 as well
1	142442136	0 days 03:49:52.000000000	add CONDA_BZIP2
2	142423699	0 days 09:51:56.000000000	Bump snp-sites
2	142418737	1 days 17:06:07.000000000	Adds recipe for perl-pod-usage
1	142402618	5 days 00:12:04.000000000	Downgrade networkx dependency
2	142350114	0 days 04:29:41.000000000	add galaxy-lib new version
1	142210356	0 days 13:31:12.000000000	chemfp update
1	142192508	0 days 16:05:39.000000000	changed repo location
1	142166895	1 days 00:38:46.000000000	GATK v4.0b5
0	142104302	1 days 02:11:53.000000000	update to 0.5.1 and add dependencies (bedtools, fastqc, multiqc, atr...)
1	142081634	1 days 00:17:10.000000000	v2.0.2 flowtools
3	142041943	0 days 12:54:06.000000000	Metfrag
2	141909744	2 days 08:39:32.000000000	Squeakr
3	141900076	2 days 00:50:49.000000000	Add recipe for breakseq2 2.2
0	141828715	0 days 20:38:34.000000000	Debugging rMATS recipe
